sample_id,encryption_count,file_write_rate,registry_modifications,network_connections,process_tree_depth,bruteforce_attempts,usb_access_count,cloud_api_access,phishing_indicator,exploit_indicator,class_id,class_name
sample_07516,798,378.927752266118,128,15,5,5,1,8,0,0,0,Encryptor
sample_09850,679,314.8897865821245,104,41,5,4,7,6,0,0,0,Encryptor
sample_05841,1132,351.7804776985895,95,54,6,9,2,4,0,1,0,Encryptor
sample_08651,738,428.7547024491343,113,39,6,2,10,6,0,0,0,Encryptor
sample_07550,866,330.998813781711,55,41,6,4,4,5,0,0,0,Encryptor
sample_07341,815,244.26385255362817,102,40,5,4,3,6,1,1,0,Encryptor
sample_07021,924,249.6638682265473,102,45,8,1,1,3,0,0,0,Encryptor
sample_00796,1046,243.22611054833024,43,13,8,5,3,4,0,0,0,Encryptor
sample_03230,724,181.9510301820884,85,66,8,0,5,5,0,0,0,Encryptor
sample_08316,1101,296.6075461670999,106,41,7,8,8,2,0,0,0,Encryptor
sample_02260,837,301.41647217590867,49,24,7,3,3,5,0,0,0,Encryptor
sample_09996,713,208.5666510816868,116,44,6,5,5,3,0,0,0,Encryptor
sample_00586,767,369.5083125996636,80,43,7,5,6,4,0,0,0,Encryptor
sample_09384,1202,158.49607092283867,52,26,8,6,4,6,0,0,0,Encryptor
sample_07487,739,376.03975532158455,25,42,6,6,5,7,0,0,0,Encryptor
sample_05902,353,394.9746225247024,78,33,5,5,0,6,0,0,0,Encryptor
sample_00848,975,253.8003731990246,76,15,8,1,5,5,0,0,0,Encryptor
sample_08966,848,347.4372932156147,56,40,4,3,3,0,0,0,0,Encryptor
sample_05277,747,141.0826162701955,89,45,6,2,2,0,0,0,0,Encryptor
sample_02346,965,203.20718594129775,53,24,7,2,8,2,0,0,0,Encryptor
sample_09700,678,73.41920683908015,58,59,7,6,9,1,0,0,0,Encryptor
sample_05510,1119,299.9423840812273,87,34,6,2,6,8,0,0,0,Encryptor
sample_02676,638,234.54744998409285,51,28,7,5,1,6,0,0,0,Encryptor
sample_08174,793,95.9204638318524,122,58,8,5,5,8,0,0,0,Encryptor
sample_06450,842,348.5372199386355,92,41,7,4,8,9,0,0,0,Encryptor
sample_01857,479,446.33801640057584,100,57,7,0,8,2,0,1,0,Encryptor
sample_07960,954,214.8713278732754,93,34,6,6,2,4,0,0,0,Encryptor
sample_03169,719,324.26755387845003,51,39,5,5,10,3,0,1,0,Encryptor
sample_09017,717,345.28700719609606,64,35,8,2,3,5,0,0,0,Encryptor
sample_00163,879,317.144971180116,97,34,7,4,6,6,1,0,0,Encryptor
sample_01643,732,299.4544356803765,69,28,7,3,5,6,0,0,0,Encryptor
sample_05117,658,130.4743765319551,119,34,6,6,8,2,0,0,0,Encryptor
sample_05821,775,284.4636848760661,70,36,7,1,4,4,0,0,0,Encryptor
sample_03289,709,348.7834082874786,63,58,7,1,4,8,0,1,0,Encryptor
sample_07242,829,284.21271375814246,99,62,7,6,4,3,0,0,0,Encryptor
sample_03551,552,212.4357391108199,89,42,7,6,4,4,0,0,0,Encryptor
sample_04775,1252,176.65327143722712,52,34,6,5,5,5,0,0,0,Encryptor
sample_06592,581,227.8333752314857,81,37,6,3,7,1,0,0,0,Encryptor
sample_01251,922,248.46725566861252,83,54,9,6,9,3,0,0,0,Encryptor
sample_06474,395,304.65751223897985,111,31,6,8,5,5,0,1,0,Encryptor
sample_04673,677,162.79671828402982,49,50,6,7,4,1,0,0,0,Encryptor
sample_06474,395,304.65751223897985,111,31,6,8,5,5,0,1,0,Encryptor
sample_03859,659,497.39834611991785,142,36,7,6,7,3,0,0,0,Encryptor
sample_08529,718,430.3032459474936,61,53,6,7,6,4,0,0,0,Encryptor
sample_05682,846,376.9740410166033,160,27,7,4,3,3,0,0,0,Encryptor
sample_07713,449,346.4835003847493,84,32,7,4,4,5,0,0,0,Encryptor
sample_04418,619,332.4562527312792,42,37,6,0,5,6,0,0,0,Encryptor
sample_00148,859,307.8597952123868,96,41,6,3,7,2,0,0,0,Encryptor
sample_05723,899,248.80685768752093,73,29,6,3,9,8,0,0,0,Encryptor
sample_01086,610,204.78570041919815,82,46,5,4,4,4,0,0,0,Encryptor
sample_08658,395,286.8080814886142,39,44,6,4,5,6,0,0,0,Encryptor
sample_02685,811,381.4339907207456,68,25,7,4,6,5,0,0,0,Encryptor
sample_04128,437,289.7460373654728,100,33,8,6,6,3,0,0,0,Encryptor
sample_02151,590,266.064526453616,47,40,7,2,9,5,0,0,0,Encryptor
sample_00073,782,355.860488779561,84,23,7,6,6,7,0,0,0,Encryptor
sample_01592,729,349.55534673981924,87,37,6,5,5,5,1,0,0,Encryptor
sample_05329,1248,209.2753958308197,84,19,8,2,7,4,0,0,0,Encryptor
sample_09241,881,277.222436502894,78,58,7,7,4,6,0,1,0,Encryptor
sample_03893,1092,313.1315427925399,84,42,6,2,8,7,0,0,0,Encryptor
sample_06061,354,216.7264442012688,41,49,8,2,4,4,0,0,0,Encryptor
sample_09206,257,357.38855238950737,90,29,8,2,6,8,1,0,0,Encryptor
sample_00593,761,217.37828445249315,82,21,7,6,1,1,0,0,0,Encryptor
sample_09366,592,334.254457655367,58,50,5,6,1,5,0,0,0,Encryptor
sample_06450,842,348.5372199386355,92,41,7,4,8,9,0,0,0,Encryptor
sample_09976,1187,310.1814310598292,104,47,5,6,6,5,0,0,0,Encryptor
